Date,Close
1/28/2020,6111.18
1/29/2020,6113.04
1/30/2020,6057.6
1/31/2020,5940.05
2/3/2020,5884.17
2/4/2020,5922.34
2/5/2020,5978.51
2/6/2020,5987.15
2/7/2020,5999.61
2/10/2020,5952.08
2/11/2020,5954.4
2/12/2020,5913.08
2/13/2020,5871.95
2/14/2020,5866.94
2/17/2020,5867.52
2/18/2020,5886.96
2/19/2020,5928.79
2/20/2020,5942.49
2/21/2020,5882.25
2/24/2020,5807.05
2/25/2020,5787.14
2/26/2020,5688.92
2/27/2020,5535.69
2/28/2020,5452.7
3/2/2020,5361.25
3/3/2020,5518.63
3/4/2020,5650.14
3/5/2020,5638.13
3/6/2020,5498.54
3/9/2020,5136.81
3/10/2020,5220.83
3/11/2020,5154.1
3/12/2020,4895.75
3/13/2020,4907.57
3/16/2020,4690.66
3/17/2020,4456.75
3/18/2020,4330.67
3/19/2020,4105.42
3/20/2020,4194.94
3/23/2020,3989.52
3/24/2020,3937.63
3/26/2020,4338.9
3/27/2020,4545.57
3/30/2020,4414.5
3/31/2020,4538.93
4/1/2020,4466.04
4/2/2020,4531.69
4/3/2020,4623.43
4/6/2020,4811.83
4/7/2020,4778.64
4/8/2020,4626.69
4/9/2020,4649.08
4/13/2020,4623.89
4/14/2020,4706.49
4/15/2020,4625.9
4/16/2020,4480.61
4/17/2020,4634.82
4/20/2020,4575.9
4/21/2020,4501.92
4/22/2020,4567.56
4/23/2020,4593.55
4/24/2020,4496.06
4/27/2020,4513.14
4/28/2020,4529.55
4/29/2020,4567.32
4/30/2020,4716.4
5/4/2020,4605.49
5/5/2020,4630.13
5/6/2020,4608.79
5/8/2020,4597.43
5/11/2020,4639.1
5/12/2020,4588.73
5/13/2020,4554.36
5/14/2020,4513.83
5/15/2020,4507.61
5/18/2020,4511.06
5/19/2020,4548.66
5/20/2020,4545.95
5/26/2020,4626.8
5/27/2020,4641.56
5/28/2020,4716.19
5/29/2020,4753.61
6/2/2020,4847.51
6/3/2020,4941.01
6/4/2020,4916.7
6/5/2020,4947.78
6/8/2020,5070.56
6/9/2020,5035.06
6/10/2020,4920.68
6/11/2020,4854.75
6/12/2020,4880.36
6/15/2020,4816.34
6/16/2020,4986.46
6/17/2020,4987.78
6/18/2020,4925.25
6/19/2020,4942.27
6/22/2020,4918.83
6/23/2020,4879.13
6/24/2020,4964.73
6/25/2020,4896.73
6/26/2020,4904.09
6/29/2020,4901.82
6/30/2020,4905.39
7/1/2020,4914.39
7/2/2020,4966.78
7/3/2020,4973.79
7/6/2020,4988.87
7/7/2020,4987.08
7/8/2020,5076.17
7/9/2020,5052.79
